Player,Team,Acquisition,Role,Type,Final_Player_Price_Cr,Source
Rishabh Pant,LSG,Auction,Batter/Wicketkeeper,Indian (capped),27.00,IPL Official Website
Shreyas Iyer,PBKS,Auction,Batter/Wicketkeeper,Indian (capped),26.75,IPL Official Website
Venkatesh Iyer,KKR,Auction,Batter,Indian (capped),23.75,IPL Official Website
Heinrich Klaasen,SRH,Retained,Batter,Overseas (capped),23.00,IPL Official Website
Nicholas Pooran,LSG,Retained,Batter/Wicketkeeper,Overseas (capped),21.00,IPL Official Website
Virat Kohli,RCB,Retained,Batter,Indian (capped),21.00,IPL Official Website
Ruturaj Gaikwad,CSK,Retained,Batter,Indian (capped),18.00,IPL Official Website
Ravindra Jadeja,CSK,Retained,All-rounder,Indian (capped),18.00,IPL Official Website
Rashid Khan,GT,Retained,Bowler,Overseas (capped),18.00,IPL Official Website
Jasprit Bumrah,MI,Retained,Bowler,Indian (capped),18.00,IPL Official Website
Arshdeep Singh,PBKS,RTM,Bowler,Indian (capped),18.00,IPL Official Website
Yuzvendra Chahal,PBKS,Auction,Bowler,Indian (capped),18.00,IPL Official Website
Sanju Samson,RR,Retained,Batter/Wicketkeeper,Indian (capped),18.00,IPL Official Website
Yashasvi Jaiswal,RR,Retained,Batter,Indian (capped),18.00,IPL Official Website
Pat Cummins,SRH,Retained,Bowler,Overseas (capped),18.00,IPL Official Website
Axar Patel,DC,Retained,Bowler,Indian (capped),16.50,IPL Official Website
Shubman Gill,GT,Retained,Batter,Indian (capped),16.50,IPL Official Website
Surya Kumar Yadav,MI,Retained,Batter,Indian (capped),16.35,IPL Official Website
Hardik Pandya,MI,Retained,All-rounder,Indian (capped),16.35,IPL Official Website
Rohit Sharma,MI,Retained,Batter,Indian (capped),16.30,IPL Official Website
Jos Buttler,GT,Auction,Batter,Overseas (capped),15.75,IPL Official Website
K L Rahul,DC,Auction,Batter/Wicketkeeper,Indian (capped),14.00,IPL Official Website
Riyan Parag,RR,Retained,Batter,Indian (capped),14.00,IPL Official Website
Dhruv Jurel,RR,Retained,Batter/Wicketkeeper,Indian (capped),14.00,IPL Official Website
Abhishek Sharma,SRH,Retained,All-rounder,Indian (capped),14.00,IPL Official Website
Travis Head,SRH,Retained,Batter,Overseas (capped),14.00,IPL Official Website
Kuldeep Yadav,DC,Retained,Bowler,Indian (capped),13.25,IPL Official Website
Matheesha Pathirana,CSK,Retained,Bowler,Overseas(capped),13.00,IPL Official Website
Rinku Singh,KKR,Retained,Batter,Indian (capped),13.00,IPL Official Website
Trent Boult,MI,Auction,Bowler,Overseas (capped),12.50,IPL Official Website
Jofra Archer,RR,Auction,Bowler,Overseas (capped),12.50,IPL Official Website
Josh Hazlewood,RCB,Auction,Bowler,Overseas (capped),12.50,IPL Official Website
Mohammed Siraj,GT,Auction,Batter,Indian (capped),12.25,IPL Official Website
Shivam Dube,CSK,Retained,Batter,Indian (capped),12.00,IPL Official Website
Varun Chakaravarthy,KKR,Retained,Bowler,Indian (capped),12.00,IPL Official Website
Sunil Narine,KKR,Retained,All-rounder,Overseas (capped),12.00,IPL Official Website
Andre Russell,KKR,Retained,All-rounder,Overseas (capped),12.00,IPL Official Website
Mitchell Starc,DC,Auction,Bowler,Overseas (capped),11.75,IPL Official Website
Phil Salt,RCB,Auction,Batter/Wicketkeeper,Overseas (capped),11.50,IPL Official Website
Ishan Kishan,SRH,Auction,Batter/Wicketkeeper,Indian (capped),11.25,IPL Official Website
Ravi Bishnoi,LSG,Retained,Bowler,Indian (capped),11.00,IPL Official Website
Mayank Yadav,LSG,Retained,Bowler,Indian (capped),11.00,IPL Official Website
Marcus Stoinis,PBKS,Auction,All-rounder,Overseas (capped),11.00,IPL Official Website
Shimron Hetmyer,RR,Retained,Batter,Overseas (capped),11.00,IPL Official Website
Rajat Patidar,RCB,Retained,Batter,Indian (capped),11.00,IPL Official Website
Jitesh Sharma,RCB,Auction,Batter,Indian (capped),11.00,IPL Official Website
T. Natarajan,DC,Auction,Bowler,Indian (capped),10.75,IPL Official Website
Kagiso Rabada,GT,Auction,Bowler,Overseas (capped),10.75,IPL Official Website
Bhuvneshwar Kumar,RCB,Auction,Bowler,Indian (capped),10.75,IPL Official Website
Noor Ahmad,CSK,Auction,Bowler,Overseas (capped),10.00,IPL Official Website
Tristan Stubbs,DC,Retained,Batter,Overseas (capped),10.00,IPL Official Website
Mohammad Shami,SRH,Auction,Bowler,Indian (capped),10.00,IPL Official Website
Ravichandran Ashwin,CSK,Auction,Bowler,Indian (capped),9.75,IPL Official Website
Avesh Khan,LSG,Auction,Bowler,Indian (capped),9.75,IPL Official Website
Prasidh Krishna,GT,Auction,Bowler,Indian (capped),9.50,IPL Official Website
Deepak Chahar,MI,Auction,Bowler,Indian (capped),9.25,IPL Official Website
Jake Fraser - McGurk,DC,RTM,Batter,Overseas (capped),9.00,IPL Official Website
Liam Livingstone,RCB,Auction,All-rounder,Overseas (capped),8.75,IPL Official Website
Sai Sudharsan,GT,Retained,Batter,Indian (capped),8.50,IPL Official Website
Mukesh Kumar,DC,RTM,Bowler,Indian (capped),8.00,IPL Official Website
Akash Deep,LSG,Auction,Bowler,Indian (capped),8.00,IPL Official Website
N Tilak Varma,MI,Retained,Batter,Indian (capped),8.00,IPL Official Website
Harshal Patel,SRH,Auction,All-rounder,Indian (capped),8.00,IPL Official Website
David Miller,LSG,Auction,Batter,Overseas (capped),7.50,IPL Official Website
Marco Jansen,PBKS,Auction,All-rounder,Overseas (capped),7.00,IPL Official Website
Anrich Nortje,KKR,Auction,Bowler,Overseas (capped),6.50,IPL Official Website
Tushar Deshpande,RR,Auction,Bowler,Indian (capped),6.50,IPL Official Website
Devon Conway,CSK,Auction,Batter,Overseas (capped),6.25,IPL Official Website
Harry Brook,DC,Auction,Batter,Overseas (capped),6.25,IPL Official Website
Rasikh Salam Dar,RCB,Auction,Bowler,Indian (uncapped),6.00,IPL Official Website
Nitish Kumar Reddy,SRH,Retained,All-rounder,Indian (capped),6.00,IPL Official Website
Krunal Pandya,RCB,Auction,All-rounder,Indian (capped),5.75,IPL Official Website
Shashank Singh,PBKS,Retained,Batter,Indian (uncapped),5.50,IPL Official Website
Naman Dhir,MI,RTM,All-rounder,Indian (uncapped),5.25,IPL Official Website
Will Jacks,MI,Auction,All-rounder,Overseas (capped),5.25,IPL Official Website
Wanindu Hasaranga,RR,Auction,Bowler,Overseas (capped),5.25,IPL Official Website
Yash Dayal,RCB,Retained,Bowler,Indian (uncapped),5.00,IPL Official Website
Khaleel Ahmed,CSK,Auction,Bowler,Indian (capped),4.80,IPL Official Website
Allah Ghazanfar,MI,Auction,Bowler,Overseas (capped),4.80,IPL Official Website
Maheesh Theekshana,RR,Auction,Bowler,Overseas (capped),4.40,IPL Official Website
Abdul Samad,LSG,Auction,All-rounder,Indian (uncapped),4.20,IPL Official Website
Glenn Maxwell,PBKS,Auction,All-rounder,Overseas (capped),4.20,IPL Official Website
Nehal Wadhera,PBKS,Auction,Batter,Indian (uncapped),4.20,IPL Official Website
Nitish Rana,RR,Auction,All-rounder,Indian (capped),4.20,IPL Official Website
MS Dhoni,CSK,Retained,Batter/Wicketkeeper,Indian (uncapped),4.00,IPL Official Website
Rachin Ravindra,CSK,RTM,All-rounder,Overseas (capped),4.00,IPL Official Website
