Player,Team,Role,Matches,Runs,StrikeRate,Average,Wickets,Economy,Source
Rishabh Pant,LSG,Batter/Wicketkeeper,14,269,133.16,24.45,0,0.0,IPL Official Website
Shreyas Iyer,PBKS,Batter/Wicketkeeper,17,604,175.07,50.33,0,0.0,IPL Official Website
Venkatesh Iyer,KKR,Batter,11,142,139.21,20.29,0,0.0,IPL Official Website
Heinrich Klaasen,SRH,Batter,13,487,172.69,44.27,0,0.0,IPL Official Website
Nicholas Pooran,LSG,Batter/Wicketkeeper,14,524,196.25,43.67,0,0.0,IPL Official Website
Virat Kohli,RCB,Batter,15,657,144.71,54.75,0,0.0,IPL Official Website
Ruturaj Gaikwad,CSK,Batter,5,122,150.61,24.4,0,0.0,IPL Official Website
Ravindra Jadeja,CSK,All-rounder,14,301,135.58,33.44,10,8.56,IPL Official Website
Rashid Khan,GT,Bowler,15,40,142.85,8.0,9,9.34,IPL Official Website
Jasprit Bumrah,MI,Bowler,12,0,0.0,0.0,18,6.67,IPL Official Website
Arshdeep Singh,PBKS,Bowler,17,2,33.33,2.0,21,8.88,IPL Official Website
Yuzvendra Chahal,PBKS,Bowler,14,0,0.0,0.0,16,9.55,IPL Official Website
Sanju Samson,RR,Batter/Wicketkeeper,9,285,140.39,35.63,0,0.0,IPL Official Website
Yashasvi Jaiswal,RR,Batter,14,559,159.71,43.0,0,0.0,IPL Official Website
Pat Cummins,SRH,Bowler,14,97,167.24,24.25,16,9.06,IPL Official Website
Axar Patel,DC,Bowler,12,263,157.48,26.3,5,8.47,IPL Official Website
Shubman Gill,GT,Batter,15,650,155.87,50.0,0,0.0,IPL Official Website
Surya Kumar Yadav,MI,Batter,16,717,167.91,65.18,0,0.0,IPL Official Website
Hardik Pandya,MI,All-rounder,15,224,163.5,24.89,14,9.77,IPL Official Website
Rohit Sharma,MI,Batter,15,418,149.28,29.86,0,0.0,IPL Official Website
Jos Buttler,GT,Batter,14,538,163.03,59.78,0,0.0,IPL Official Website
K L Rahul,DC,Batter/Wicketkeeper,13,539,149.72,53.9,0,0.0,IPL Official Website
Riyan Parag,RR,Batter,14,393,166.52,32.75,3,8.5,IPL Official Website
Dhruv Jurel,RR,Batter/Wicketkeeper,14,333,156.33,37.0,0,0.0,IPL Official Website
Abhishek Sharma,SRH,All-rounder,14,439,193.39,33.77,0,0.0,IPL Official Website
Travis Head,SRH,Batter,13,374,162.6,31.17,0,0.0,IPL Official Website
Kuldeep Yadav,DC,Bowler,14,18,112.5,6.0,15,7.07,IPL Official Website
Matheesha Pathirana,CSK,Bowler,12,0,0.0,0.0,13,10.13,IPL Official Website
Rinku Singh,KKR,Batter,13,206,153.73,29.43,0,0.0,IPL Official Website
